"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
-5.495906667E-1,9.759912872E2,0.000000000E0,-4.865866667E-2,-3.522516519E-1
4.522733333E-1,9.760324097E2,-3.529082490E-1,9.533488333E-1,-3.521387594E-1
1.454424333E0,9.760735321E2,-7.058044588E-1,1.955278333E0,-7.973845799E-2
2.456132333E0,9.760828400E2,-7.856791101E-1,2.957132333E0,-5.880606668E-3
3.458132333E0,9.760835266E2,-7.915714780E-1,3.959047333E0,-2.875446288E-2
4.459962333E0,9.760868835E2,-8.203785615E-1,4.734746333E0,-4.777090137E-1
5.009530333E0,9.761174774E2,-1.082912149E0,5.510456833E0,-2.169524243E-1
6.011383333E0,9.761428070E2,-1.300266586E0,6.512342833E0,-3.626424233E-1
7.013302333E0,9.761851501E2,-1.663604920E0,7.514349333E0,-4.879917568E-1
8.015396333E0,9.762421417E2,-2.152618532E0,8.516421833E0,-5.311040706E-1
9.017447333E0,9.763041687E2,-2.684811897E0,9.518357833E0,-5.704004472E-1
1.001926833E1,9.763707733E2,-3.256251043E0,1.052032433E1,-5.747752640E-1
1.102138033E1,9.764379120E2,-3.832240232E0,1.152243683E1,-5.701710005E-1
1.202349333E1,9.765045166E2,-4.403616004E0,1.252439083E1,-5.722803016E-1
1.302528833E1,9.765713501E2,-4.976923549E0,1.352625533E1,-5.813132005E-1
1.402722233E1,9.766392517E2,-5.559361009E0,1.452826233E1,-5.465861660E-1
1.502930233E1,9.767031097E2,-6.107084074E0,1.553027483E1,-4.205883281E-1
1.603124733E1,9.767522430E2,-6.528490447E0,"",""